"freelancer_id","bio","portfolio","experience","hourly_rate"
"2d140e33-c",NULL,"https://portfolio.com/2d140",2,"34.17"
"8bd4ece8-3",NULL,"https://portfolio.com/8bd4e",13,"52.05"
"3aa5c8bb-d",NULL,"https://portfolio.com/3aa5c",9,"134.59"
"fecef31a-5",NULL,"https://portfolio.com/fecef",0,"20.57"
"b0b97605-b",NULL,"https://portfolio.com/b0b97",15,"134.56"
"fd2c1f0d-2",NULL,"https://portfolio.com/fd2c1",13,"133.37"
"465c16dc-3",NULL,"https://portfolio.com/465c1",9,"84.89"
"0a96538c-7",NULL,"https://portfolio.com/0a965",15,"46.10"
"06c06e76-2",NULL,"https://portfolio.com/06c06",11,"23.06"
"5989dae6-c",NULL,"https://portfolio.com/5989d",8,"43.15"
"fdfc17a5-8",NULL,"https://portfolio.com/fdfc1",7,"28.45"
"61c160d2-f",NULL,"https://portfolio.com/61c16",7,"30.32"
"303ea92f-8",NULL,"https://portfolio.com/303ea",2,"56.52"
"caed638b-8",NULL,"https://portfolio.com/caed6",7,"87.85"
"2b7c3a56-8",NULL,"https://portfolio.com/2b7c3",3,"17.86"
"032f21fa-6",NULL,"https://portfolio.com/032f2",11,"12.16"
"4b5a5164-a",NULL,"https://portfolio.com/4b5a5",12,"102.69"
"fb34d04a-5",NULL,"https://portfolio.com/fb34d",12,"75.48"
"52ffc6c7-1",NULL,"https://portfolio.com/52ffc",11,"72.15"
"26495112-1",NULL,"https://portfolio.com/26495",4,"146.08"
"dae484c6-6",NULL,"https://portfolio.com/dae48",8,"30.91"
"0617fb2d-0",NULL,"https://portfolio.com/0617f",6,"71.61"
"ee11d252-1",NULL,"https://portfolio.com/ee11d",12,"30.61"
"55cfdee2-1",NULL,"https://portfolio.com/55cfd",5,"137.31"
"60142e4e-e",NULL,"https://portfolio.com/60142",6,"32.83"
"b5cb1f48-7",NULL,"https://portfolio.com/b5cb1",13,"18.09"
"8e31e4e6-c",NULL,"https://portfolio.com/8e31e",1,"84.68"
"b369dfd6-f",NULL,"https://portfolio.com/b369d",1,"93.56"
"a54a7813-0",NULL,"https://portfolio.com/a54a7",13,"92.43"
"a1182307-e",NULL,"https://portfolio.com/a1182",14,"126.34"
"98663b14-6",NULL,"https://portfolio.com/98663",6,"38.35"
"cc13a75a-1",NULL,"https://portfolio.com/cc13a",11,"36.20"
"c85db1c0-2",NULL,"https://portfolio.com/c85db",11,"130.43"
"7a0abb7b-d",NULL,"https://portfolio.com/7a0ab",11,"132.24"
"51e410ae-5",NULL,"https://portfolio.com/51e41",6,"19.54"
"e363f571-7",NULL,"https://portfolio.com/e363f",14,"111.94"
"bb95abb6-c",NULL,"https://portfolio.com/bb95a",4,"82.27"
"e4c47d8a-b",NULL,"https://portfolio.com/e4c47",11,"17.00"
"9443dd24-a",NULL,"https://portfolio.com/9443d",13,"25.15"
"f668b07a-f",NULL,"https://portfolio.com/f668b",11,"53.08"
"1f8977ce-4",NULL,"https://portfolio.com/1f897",12,"49.88"
"71a660be-e",NULL,"https://portfolio.com/71a66",11,"138.40"
"d05dfa25-2",NULL,"https://portfolio.com/d05df",10,"37.04"
"7f3efedc-9",NULL,"https://portfolio.com/7f3ef",5,"63.53"
"71bc5f96-3",NULL,"https://portfolio.com/71bc5",12,"91.20"
"29644934-8",NULL,"https://portfolio.com/29644",0,"17.45"
"fef0d132-1",NULL,"https://portfolio.com/fef0d",11,"140.96"
"1f4f1f15-c",NULL,"https://portfolio.com/1f4f1",1,"143.10"
"420173ee-7",NULL,"https://portfolio.com/42017",14,"112.06"
"e0ee0945-0",NULL,"https://portfolio.com/e0ee0",11,"101.00"
"ac1e51ef-3",NULL,"https://portfolio.com/ac1e5",3,"65.34"
"4a704d18-6",NULL,"https://portfolio.com/4a704",1,"65.15"
"0c03acd3-e",NULL,"https://portfolio.com/0c03a",10,"110.99"
"d04eeecd-a",NULL,"https://portfolio.com/d04ee",5,"130.38"
"70e2fdd7-d",NULL,"https://portfolio.com/70e2f",0,"60.79"
"0298778a-c",NULL,"https://portfolio.com/02987",8,"66.17"
"54f04bbd-7",NULL,"https://portfolio.com/54f04",6,"53.57"
"bd7e4ec1-1",NULL,"https://portfolio.com/bd7e4",7,"99.11"
"df680804-0",NULL,"https://portfolio.com/df680",14,"129.21"
"bdb70612-9",NULL,"https://portfolio.com/bdb70",12,"77.69"
"7d1ec63d-4",NULL,"https://portfolio.com/7d1ec",7,"120.24"
"4614bdd3-1",NULL,"https://portfolio.com/4614b",8,"104.34"
"3d1a40c8-f",NULL,"https://portfolio.com/3d1a4",8,"99.02"
"c07c2979-a",NULL,"https://portfolio.com/c07c2",15,"118.27"
"804c1256-4",NULL,"https://portfolio.com/804c1",7,"80.65"
"d5cf7f46-d",NULL,"https://portfolio.com/d5cf7",6,"12.29"
"3478855c-f",NULL,"https://portfolio.com/34788",12,"85.04"
"fffd42a4-7",NULL,"https://portfolio.com/fffd4",4,"138.71"
"17a54b9b-7",NULL,"https://portfolio.com/17a54",4,"43.89"
"adacf265-b",NULL,"https://portfolio.com/adacf",9,"16.85"
"393b3300-c",NULL,"https://portfolio.com/393b3",11,"55.54"
"62f3bf24-9",NULL,"https://portfolio.com/62f3b",5,"109.97"
"4668147d-5",NULL,"https://portfolio.com/46681",14,"18.22"
"44c3a6c1-d",NULL,"https://portfolio.com/44c3a",1,"149.26"
"cb4ea407-6",NULL,"https://portfolio.com/cb4ea",1,"135.78"
"df258868-6",NULL,"https://portfolio.com/df258",1,"118.67"
"fe6d411b-3",NULL,"https://portfolio.com/fe6d4",9,"35.68"
"70842bde-0",NULL,"https://portfolio.com/70842",6,"51.90"
"eb406f71-c",NULL,"https://portfolio.com/eb406",9,"48.60"
"a115717e-1",NULL,"https://portfolio.com/a1157",2,"74.55"
"4da32970-d",NULL,"https://portfolio.com/4da32",8,"10.83"
"3541aa24-9",NULL,"https://portfolio.com/3541a",4,"85.54"
"a0d4c64f-9",NULL,"https://portfolio.com/a0d4c",9,"118.64"
"d7f4012d-2",NULL,"https://portfolio.com/d7f40",12,"140.35"
"f26af625-1",NULL,"https://portfolio.com/f26af",11,"70.41"
"98042a50-7",NULL,"https://portfolio.com/98042",3,"87.12"
"f046039f-8",NULL,"https://portfolio.com/f0460",5,"24.56"
"f9f19dae-c",NULL,"https://portfolio.com/f9f19",11,"16.16"
"8c69a0d3-d",NULL,"https://portfolio.com/8c69a",12,"136.31"
"744500ff-f",NULL,"https://portfolio.com/74450",9,"27.16"
"d87807ee-c",NULL,"https://portfolio.com/d8780",10,"141.89"
