"review_id","reviewer_id","reviewee_id","review_text","rating","review_date"
"d1bcdd6f-2","85d3d266-8","7d1ec63d-4","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"96c8ecfe-4","5ab8682f-f","dae484c6-6","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"e8d722c9-8","5ab8682f-f","ee11d252-1","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"a43876d3-c","5ab8682f-f","bb95abb6-c","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
"6e590f99-5","33a852b0-2","465c16dc-3","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"cc0dbf14-e","33a852b0-2","032f21fa-6","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"7536471c-3","33a852b0-2","29644934-8","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"1af994b4-9","33a852b0-2","0298778a-c","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"85f78956-3","ec98e132-3","a54a7813-0","Very disappointing, would not recommend.",1,"2025-03-07 10:35:51.623633"
"d4fee3db-b","ec98e132-3","e0ee0945-0","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"ab5dcd92-c","64ef70fd-9","8bd4ece8-3","Very disappointing, would not recommend.",1,"2025-03-07 10:35:51.623633"
"8e9e7f7e-b","64ef70fd-9","60142e4e-e","Very disappointing, would not recommend.",1,"2025-03-07 10:35:51.623633"
"65d2252e-a","64ef70fd-9","a1182307-e","Very disappointing, would not recommend.",1,"2025-03-07 10:35:51.623633"
"3ffe38da-a","64ef70fd-9","62f3bf24-9","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"00b967b1-6","64ef70fd-9","3541aa24-9","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"197b2bf6-e","64ef70fd-9","744500ff-f","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"8083ebf5-1","00dfcc73-8","f26af625-1","Very disappointing, would not recommend.",1,"2025-03-07 10:35:51.623633"
"c662dfc7-f","8d3ea35c-5","b5cb1f48-7","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"3839ea98-d","8d3ea35c-5","d04eeecd-a","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
"70225257-c","47b7b97c-e","804c1256-4","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
"937e26ef-a","a28733c4-a","b0b97605-b","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"eb2c4ef0-c","a28733c4-a","17a54b9b-7","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"47ab053a-2","a28733c4-a","4da32970-d","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"0b5a25fc-0","a28733c4-a","98042a50-7","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
"24efe370-0","7bd9fdb8-5","8bd4ece8-3","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
"80468c71-8","7bd9fdb8-5","7a0abb7b-d","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"c5267f68-4","ab7a827b-2","55cfdee2-1","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"8d25b2d1-7","84897cf8-a","804c1256-4","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"39348ed7-7","84897cf8-a","eb406f71-c","Very disappointing, would not recommend.",1,"2025-03-07 10:35:51.623633"
"e568f119-d","1e6a5017-3","fef0d132-1","Very disappointing, would not recommend.",1,"2025-03-07 10:35:51.623633"
"742e0650-2","afd8ada5-d","4b5a5164-a","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
"cb0d9fc7-a","afd8ada5-d","d04eeecd-a","Very disappointing, would not recommend.",1,"2025-03-07 10:35:51.623633"
"a1d981e2-d","dee61fc3-7","f26af625-1","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"18b8d6cb-9","dee61fc3-7","d5cf7f46-d","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"3c29c8a3-2","21b435e6-0","adacf265-b","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"226c5354-4","21b435e6-0","eb406f71-c","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"499ffdb4-9","21b435e6-0","a115717e-1","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
"3e02258c-8","bb6d8453-b","8e31e4e6-c","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"1e9a8c2c-f","fc3fbba4-1","bdb70612-9","Very disappointing, would not recommend.",1,"2025-03-07 10:35:51.623633"
"24972873-9","25c430d4-a","5989dae6-c","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"492cf9b0-3","25c430d4-a","71bc5f96-3","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"608383a6-5","25c430d4-a","b0b97605-b","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"0b6acf01-c","25c430d4-a","55cfdee2-1","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"a02425dc-2","24cd2824-5","bd7e4ec1-1","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"642debb1-b","76674b43-f","adacf265-b","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"2dc0dcb7-0","76674b43-f","f9f19dae-c","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"35785be9-7","fa09c8b1-0","0a96538c-7","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"1ea8da66-1","fa09c8b1-0","804c1256-4","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
"6515f5c6-8","2b7138a5-e","b0b97605-b","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"4ac46056-b","2b7138a5-e","032f21fa-6","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"76f1e0f4-a","2b7138a5-e","cb4ea407-6","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
"adf8ac01-7","8c19b84e-9","d5cf7f46-d","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"4da9746e-9","e479845f-2","303ea92f-8","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"46c8de79-9","e479845f-2","f046039f-8","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"301bd7d1-3","6ae7a76c-6","bdb70612-9","Not fully satisfied, several issues.",2,"2025-03-07 10:35:51.623633"
"8cae6b4a-d","6ae7a76c-6","804c1256-4","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"5e262924-1","6ae7a76c-6","3478855c-f","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
"39b69c71-f","d6668e4d-8","df258868-6","Great job, met expectations well.",4,"2025-03-07 10:35:51.623633"
"35ca67e6-6","7da4c7a9-7","52ffc6c7-1","Exceptional work! Highly recommended.",5,"2025-03-07 10:35:51.623633"
"ae30db84-2","7da4c7a9-7","e4c47d8a-b","Very disappointing, would not recommend.",1,"2025-03-07 10:35:51.623633"
"77490ed9-8","7da4c7a9-7","8c69a0d3-d","Decent work, but could be improved.",3,"2025-03-07 10:35:51.623633"
