"proposal_id","freelancer_id","project_id","proposal_text","bid_amount","submitted_at"
"54b02cc5-3","2d140e33-c","11e21218-a","I am highly experienced in social and can deliver great results.","2595.07","2025-03-07 10:25:23.965379"
"c439c465-e","2d140e33-c","4ec469ce-0","I am highly experienced in custom and can deliver great results.","10587.19","2025-03-07 10:25:23.965379"
"92bc13f3-5","8bd4ece8-3","c650fe50-5","I am highly experienced in social and can deliver great results.","1911.32","2025-03-07 10:25:23.965379"
"9c40fbd9-9","8bd4ece8-3","2240d6f4-a","I am highly experienced in e-commerce and can deliver great results.","4049.40","2025-03-07 10:25:23.965379"
"f71a871f-c","8bd4ece8-3","8fdde2da-e","I am highly experienced in custom and can deliver great results.","5757.86","2025-03-07 10:25:23.965379"
"ba2c027c-d","8bd4ece8-3","2b111c89-7","I am highly experienced in e-commerce and can deliver great results.","2068.53","2025-03-07 10:25:23.965379"
"580cdfc9-e","8bd4ece8-3","80113dcf-a","I am highly experienced in ai and can deliver great results.","2167.26","2025-03-07 10:25:23.965379"
"1e1cafbb-3","3aa5c8bb-d","dd5ca364-e","I am highly experienced in social and can deliver great results.","2778.82","2025-03-07 10:25:23.965379"
"e560e037-7","3aa5c8bb-d","50d38286-a","I am highly experienced in ai and can deliver great results.","986.12","2025-03-07 10:25:23.965379"
"798b566b-a","3aa5c8bb-d","e39ee2c6-1","I am highly experienced in data and can deliver great results.","6344.96","2025-03-07 10:25:23.965379"
"0e7c4906-8","fecef31a-5","b795c97f-1","I am highly experienced in custom and can deliver great results.","8599.70","2025-03-07 10:25:23.965379"
"e96852cf-4","b0b97605-b","d47a6fe2-1","I am highly experienced in custom and can deliver great results.","2058.73","2025-03-07 10:25:23.965379"
"a7a7c413-b","b0b97605-b","8bf7ffae-7","I am highly experienced in custom and can deliver great results.","2945.87","2025-03-07 10:25:23.965379"
"82a1d991-e","b0b97605-b","96d23546-3","I am highly experienced in e-commerce and can deliver great results.","1494.33","2025-03-07 10:25:23.965379"
"586f290a-2","b0b97605-b","c1e02d9e-6","I am highly experienced in custom and can deliver great results.","3227.33","2025-03-07 10:25:23.965379"
"9d121d10-9","b0b97605-b","a5bf217f-e","I am highly experienced in marketing and can deliver great results.","2023.03","2025-03-07 10:25:23.965379"
"2796a5bf-0","fd2c1f0d-2","26784c78-6","I am highly experienced in ai and can deliver great results.","4414.70","2025-03-07 10:25:23.965379"
"9167597d-2","465c16dc-3","328091e9-b","I am highly experienced in e-commerce and can deliver great results.","4226.84","2025-03-07 10:25:23.965379"
"280b5bbf-b","465c16dc-3","0d11a9cc-8","I am highly experienced in seo and can deliver great results.","3881.56","2025-03-07 10:25:23.965379"
"6dfd3a78-6","465c16dc-3","ef2fc250-d","I am highly experienced in custom and can deliver great results.","3377.19","2025-03-07 10:25:23.965379"
